VRT名称,VFG名称,CCC,旧件名称,故障描述,故障原因,故障模式
智能化,驾驶辅助,车道辅助系统问题,车道偏离控制器总成,该车出现故障码,经检查为车道偏离控制器总成，自适应巡航控制器总成异常导致,ACC/AEB/LKA失效
智能化,驾驶辅助,自适应巡航问题,自适应巡航控制器总成,该车出现故障码,经检查为车道偏离控制器总成，自适应巡航控制器总成异常导致,ACC/AEB/LKA失效
智能化,驾驶辅助,倒车/全景影像系统问题,倒车摄像头总成,该车倒车不显示影像;,检查为车摄像头总成故障，不显示,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,该车倒车摄像蓝屏，,经检测系，全景后摄像头不工作导致。,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车反映全景影像绿屏,经技术人员检查后，确定为全景前摄像头总成故障导致绿屏,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,自动紧急制动系统问题,前视摄像头总成,该车故障灯亮,经维修技师检测，属于前视摄像头故障,ACC/AEB/LKA失效
智能化,驾驶辅助,自动泊车系统问题,自动泊车传感器总成,该车挂倒档有时无障碍物误报警,检查为左后自动泊车传感器总成故障所致,超声波雷达误报
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,该车后视不清晰,经维修技师检查判定为全景后摄像头总成故障导致后视不清晰,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车进店反馈后摄像头显示绿屏,经我站维修技师检查判断全景后摄像头工作不良导致,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,无零件,该车经常在启动时右侧视图黑屏，显示无信号,经检查判断为右摄像头故障，导致右侧视图黑屏。,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,自动泊车系统问题,自动泊车传感器总成,该车客户到店反应雷达无反应。,经检查为自动泊车传感器总成失效导致无反应。,超声波雷达失效
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车客户到店反应前影像模糊。,经检查为全景前摄像头总成密封不严进水导致模糊，,全景模糊
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右）（合成件）,该车客户到店反应左外后视镜不折叠。,经检查为外后视镜总成（左 带摄像头和转接线）卡滞导致不折叠。,折叠问题
智能化,驾驶辅助,自动泊车系统问题,自动泊车传感器总成,该车客户反映车辆出现仪表故障灯亮,经查故障码B192000右后中传感器信号线断路；B192101左后中传感器信号线断路。检查后判定左右后自动泊车传感器总成内部故障导致，需更换,超声波雷达失效
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车客户反映全景前摄像头总成影像绿屏,经查为该车前边全景前摄像头总成内部元件故障，后边全景前摄像头总成内部元件故障所致,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车客户反映全景前摄像头总成影像模糊,经查为该车全景前摄像头总成内部元件故障所致,全景模糊
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右 带摄像头和转接线）,该车客户反映右前外后视镜总成行驶时异响，偶尔绿屏,经查为该车外后视镜总成（右/合成件）内部元件故障所致,摄像头问题
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,该车客户反映自动泊车摄像头总成影像有黑点，移动玻璃线束盖板（右）变形翘起,经查为该车移动玻璃线束盖板（右）材质不佳，自动泊车摄像头总成内部元件故障所致,360故障
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,该车客户反映左侧后视镜折叠时异响,经查为该车外后视镜总成（左 带摄像头和转接线）内部元件故障所致,异响问题
智能化,驾驶辅助,倒车/全景影像系统问题,倒车摄像头总成,该车客户进店反映倒车时后视有黑影,经维修技师检查判定为倒车摄像头总成故障导致倒车时后视有黑影,360故障
智能化,驾驶辅助,自适应巡航问题,前视摄像头总成,该车客户进站反映车子自适应巡航报警；,经维修技师用电脑检测仪检查 ECU与ACC自适应巡航控制单元通讯丢失（故障码U010400）ADAS报文$1C0丢失（故障码U221987） LDW状态报文$24E丢失（故障码U222087）LDW振动等级报文$30A丢失（故障码U222487）判断是前视摄像头总成内部故障导致；,ACC/AEB/LKA失效
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（左/合成件）,该车客户进站反映车子左前摄像头绿屏；,经维修技师检查故障存在，判断是外后视镜总成（左/合成件）内部故障导致；,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景摄像头总成,该车客户来电反应引力域APP远程开启哨兵模式提示无TF或TF不可用。,经检查为全景摄像头总成断开导致引力域APP远程开启哨兵模式提示无TF或TF不可用。,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车来站反馈车辆360前影像绿屏。,经我站检查为全景前摄像头总成有故障导致车辆360前影像绿屏。,360绿屏/黑屏/花屏/蓝屏
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,该车来站反馈车辆360影像右侧花屏。,经我站检查为右外后视镜总成有故障导致车辆360影像右侧花屏。,摄像头问题
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,该车来站反馈车辆360影像左右不清晰。,经我站检查为左右外后视镜总成上摄像头故障造成车辆360影像左右不清晰。,摄像头问题
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车来站反馈车辆前摄像头无影像。,经我站检查为全景前摄像头总成有故障导致车辆前摄像头无影像。,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,该车来站反馈车辆无倒车影像。,经检查为全景后摄像头故障造成倒车无影像。,360故障
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,该车辆到店后发现左侧后视镜折叠后有一块破损,检查为，外后视镜总成（左）出厂故障导致左侧后视镜折叠后有一块破损,折叠问题
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车辆挂倒挡绿屏,维修技师检查情况属实，为后摄像头内部故障导致,360绿屏/黑屏/花屏/蓝屏
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右）,该车辆后视镜镜片上下无法调节,经检查该车辆外后视镜故障,调节问题
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右）,该车辆在临卖状态，右外后视镜无法调节,经检测系：右外后视镜总成异常导致,调节问题
智能化,驾驶辅助,自动泊车系统问题,自动泊车传感器总成,该车偶发性雷达误报警,检查为前左中自动泊车传感器总成故障所致,超声波雷达误报
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右）（合成件）,该车前，后，左，右摄像头内有水珠。,经检查该车前，后，左，右摄像头内有水珠。是由于左，右外后视镜，前，后全景前摄像头，全景后摄像头内部密封不良造成的。,摄像头问题
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车前辅助视频绿屏。,经检查全景前摄像头总成内部故障所导致。,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车前摄像时显示屏白屏。,经检查该车前摄像时显示屏白屏。是由于全景前摄像头总成内部功能失效造成的。,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,该车前摄像头起雾,检查为自动泊车摄像头总成密封不良所致,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,该车全景后摄像头总成影像绿屏,经检查为全景后摄像头总成内部故障引起,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,该车全景后影像绿屏,经检查全景后摄像头质量缺陷导致后影像绿屏,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,该车全景后影像绿屏,经检查全景后摄像头质量缺陷导致全景后影像绿屏,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车全景前影像绿屏,经检查全景前摄像头接触不良导致显示绿屏,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车全景影像绿屏,经检查全景前摄像头质量缺陷导致绿屏,360绿屏/黑屏/花屏/蓝屏
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右）（合成件）,该车外后视镜总成（右）（合成件）镜片无法调节,经检查为外后视镜总成（右）（合成件）内部故障引起,折叠问题
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（右/合成件）,该车外后视镜总成（右/合成件）全景影像有花纹,经检查为外后视镜总成（右/合成件）摄像头内部故障引起,全景模糊
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,该车外后视镜总成(左 合成件）打开折叠时有异响,经检查为外后视镜总成(左 合成件）局部破损导致磨损引起异响,异响问题
智能化,驾驶辅助,倒车/全景影像系统问题,倒车雷达传感器总成,该车显示屏上倒车雷达故障灯亮。,经检查该车倒车雷达传感器总成故障导致该车显示屏上倒车雷达故障灯亮。,其它问题
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,该车销售人员检查车辆时发现：车子左侧行车影像无画面。,经检查是：车子左侧摄像头画面蓝屏，车子左后视镜带摄像头总成工作异常，车子左外后视镜合成件摄像头电路故障导致。,摄像头问题
智能化,驾驶辅助,车道辅助系统问题,前视摄像头总成,该车行车时偶尔会出现许多故障灯亮。,经检查该车行车时偶尔会出现许多故障灯亮。是由于前视摄像头总成内部功能失效造成的。,并线辅助故障灯亮
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右）（合成件）,该车行驶中右侧车门有吹哨一样的声音。,经检查判断为右后视镜间隙不当，造成异响声、,风噪问题
智能化,驾驶辅助,自适应巡航问题,自适应巡航控制器总成,该车仪表报自适应巡航故障,该车经诊断仪检测报微处理器内部故障。,ACC/AEB/LKA失效
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,该车用户反应倒车不显示,经检查全景后摄像头总成功能失效导致,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,该车用户反应后摄像头及右前摄像头绿色不显示图像,经检查外后视镜总成（右/合成件）及全景后摄像头总成显示故障导致,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,该车用户反应后摄像头显示模糊、乘客座椅塌陷，最后一次故障时间2025年6月11日下午,经检查自动泊车摄像头总成功能失效、乘客40%座椅坐垫总成（合成件）泡沫塌陷导致,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（右）（合成件）,该车用户反应右前摄像头绿色不显示图像，最后一次故障时间2025年8月18日下午,经检查外后视镜总成（右）（合成件）摄像头功能失效导致,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（右/合成件）,该车用户反应右前摄像头有时无信号、蓝屏,经检查外后视镜总成（右/合成件）摄像头故障导致,360绿屏/黑屏/花屏/蓝屏
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右）（合成件）,该车用户反应左后视镜镜片不能上下调节,经检查外后视镜总成（左/合成件）上下调节功能失效导致,折叠问题
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右）,该车用户反映：车子左后视镜加热失效。,经检查是：车子外后视镜总成（左）（合成件）工作异常，车子外后视镜总成（左）（合成件）内部电路故障，造成车子左侧后视镜加热失效。,调节问题
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车用户反映该车后摄像头模糊,经检查发现后摄像头密封不严进水,全景进水
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（右/合成件）,该车用户反映右边影像绿屏,经检查发现外后视镜总成（右/合成件）内部故障导致右边影像绿屏,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,自适应巡航问题,无零件,该车用户反映自适应巡航故障灯亮,经使用检测仪读出故障码B212578校准不正确,ACC/AEB/LKA故障灯亮
智能化,驾驶辅助,人脸识别/车内拍照摄像头,全景前摄像头总成,该车用户进站反应摄像头看不清，无法正在使用。,经检查是景前摄像头失效引起摄像头无法正在使用。,全景模糊
智能化,驾驶辅助,自适应巡航问题,前视摄像头总成,该车用户进站反映高速行驶自动刹车,经检查发现前视摄像头总成内部故障导致自动刹车,AEB误触发
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车用户进站反映前影像绿屏,经检查发现全景前摄像头总成内部故障导致绿屏,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,该车用户于2025年8月11日上午进站反映前影像模糊,经检查发现自动泊车摄像头总成内部故障导致前影像模糊,全景模糊
智能化,驾驶辅助,自适应巡航问题,自适应巡航控制器总成,该车油箱盖不好打开，定速巡航不能,经查该车油箱门总成，自适应巡航控制器总成内部故障导致,ACC/AEB/LKA失效
智能化,驾驶辅助,自动泊车系统问题,自动泊车传感器总成,该车右前雷达不报警,检查为自动泊车传感器问题,超声波雷达失效
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,该车于2025.6.17号进站反映故障灯亮,经检查是由于摄像头通信错误导致,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,该车于2025.9.10号进站反映摄像头模糊,经检查是由于摄像头内部模糊导致,全景模糊
智能化,驾驶辅助,自动泊车系统问题,智能驾驶域控制器总成,该车于2025年5月18日14：40进店反馈自主泊车不能用,经我站维修技师检查读出故障码B190606右后边传感器信号线短接地，检查线路传感器无异常，判断是智能驾驶域控制器总成内工作不良导致,超声波雷达失效
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,该车主2025.8.2号进店反馈车辆右侧后视镜打开全景时影像视频有黑影。,经技师检查：右后视镜自动泊车摄像头总成故障。,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车主2025.9.29号进店反馈车辆倒车影像模糊。,经技师检查：后全景前摄像头总成故障。,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车主反映前影像模糊,经检查前摄像头进水,全景进水
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,该车主反映右侧摄像头没有影像,经检查发现右侧摄像头有故障,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车主进站反应：影像模糊,经检测系：左右外后视镜总成摄像头异常导致，全景前摄像头总成异常导致,全景模糊
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右）（合成件）,该车主进站反应：右摄像头模糊,经检测系：右外后视镜总成摄像头异常导致,摄像头问题
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,该车主于2025年11月10日中午进站反应：摄像头模糊,经检测系：自动泊车摄像头总成失效导致,全景模糊
智能化,驾驶辅助,自动泊车系统问题,自动泊车传感器总成,该车主于2025年8月2日上午进站反应：雷达不得叫,经检测系：自动泊车传感器失效导致,超声波雷达误报
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,该车左侧摄像头无法成像,检查相关线路正常，替换外后视镜试车故障排除,摄像头问题
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（左/合成件）,该车左侧摄像头影像变绿。,经检查是左外后视镜总成质量不好所导致。,360绿屏/黑屏/花屏/蓝屏
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成(右/合成件),该车左倒车镜折叠到一半不动了,检查发现倒车镜内侧有凸起物挂到了后视镜外壳导致后视镜不能正常折叠。,折叠问题
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,该车左倒车镜折叠到一半不动了,检查发现倒车镜内侧有凸起物挂到了后视镜外壳导致后视镜不能正常折叠。,折叠问题
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,该车左外后视镜不能折叠,检查为外后视镜总成（左）内部故障所致,折叠问题
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,该车左外后视镜不折叠,经检查为外后视镜总成(左 合成件）异常导致,折叠问题
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,该车左外后视镜折叠时异响,检查为外后视镜总成（左 带摄像头和转接线）内部故障所致,异响问题
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该车左右外后摄像头不清晰起雾；前后摄像头不清晰起雾,经检查发现B全景前摄像头总成密封不严进水起雾导致不清晰；左外后视镜进水起雾导致不清晰；右外后视镜进水起雾导致不清晰,全景进水
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,该客户反映车辆倒车镜摄像头影像模糊，后摄像头影像模糊,经检查是倒车镜摄像头及全景后摄像头进水导致影像模糊,全景进水
智能化,驾驶辅助,倒车/全景影像系统问题,倒车摄像头总成,该客户反映后影像模糊,经师傅检查为：倒车摄像头的问题,全景模糊
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,该客户反映左后后视镜锁车有时无法折叠,经师傅检查为：左外后视镜的问题,折叠问题
智能化,驾驶辅助,自动紧急制动系统问题,前视摄像头总成,该客户进店反馈：行驶中车辆会自动急刹,经维修技师检查确认：前视摄像头总成报故障码U179387   LCDAR通讯丢失。,AEB误触发
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,高速行驶到100到120之间右前有异响,经技师检查该问题为右前外后视镜，右前减震器质量问题导致,异响问题
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,故客户反馈摄像头模糊;,摄像头有划痕，外部无损伤,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,前视摄像头总成,故障灯亮;,经检查前摄像头数据调取不到，,ACC/AEB/LKA故障灯亮
智能化,驾驶辅助,自适应巡航问题,自适应巡航控制器总成,故障灯亮;,经检查因自适应巡航控制器总成内部故障导致,ACC/AEB/LKA故障灯亮
智能化,驾驶辅助,倒车/全景影像系统问题,前视摄像头总成,故障频率：车辆正常行驶，仪表提示车道辅助系统故障，自动紧急制动系统不可用故障。,车辆到店后用诊断仪，进车道辅助系统报B220649 LAS内部电路永久故障。2.查询维修手册需要更换摄像头，由于摄像头和车道辅助系统模块是集成一体，需更换块车道辅助系统LAS模块。3.检查线路未发现异常。,ACC/AEB/LKA失效
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,故障频率：偶尔出现;2025.10.12号15.10分客户反映前后摄像头偶发性成绿色,全景后摄像头总成异常，全景前摄像头总成异常,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,故障频率：偶尔出现;故障灯：闪烁;路况：水泥路;工况：冷车;加减速：怠速;故障现象具体描述：客户进店反映，车辆后摄像头绿屏;,经师傅检查，全景前摄像头总成，损坏,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,无零件,故障频率：偶尔出现;故障现象具体描述：倒车影像偶尔不显示;,经技术老师检测为该车全景后摄像头内部故障导致,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,故障频率：偶尔出现;故障现象具体描述：后摄像绿屏;,经检查全景后摄像头总成接触不良导致后摄像绿屏,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,故障频率：偶尔出现;故障现象具体描述：客户反应360影像会黑屏;,客户反应360影像会黑屏;经维修技师排查确诊为自动泊车摄像头总成内部失效,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（右/合成件）,故障频率：偶尔出现;故障现象具体描述：客户反应右后视镜有时绿屏;,客户反应右后视镜有时绿屏;经维修技师排查确诊为右摄像头内部失效需更换右后视镜总成,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,无零件,故障频率：偶尔出现;故障现象具体描述：行驶时偶尔出现360全景无法使用，无视频信号;,360域控制器线束故障,其它问题
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（左 带摄像头和转接线）,故障频率：偶发。故障现象具体描述：左边360全景影像绿屏，进站试车显示屏左后视镜图像绿屏。,经检查为外后视镜总成（左）备件质量造成。,360绿屏/黑屏/花屏/蓝屏
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,故障频率：其他;该车右侧影像绿屏,经维修技师检测，属于右侧摄像头内部故障,摄像头问题
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,故障频率：其他;故障现象具体描述：倒车影像头模糊;,经查，该车倒车影像模糊现象属实，判定是全景前摄像头总成问题。,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,故障频率：其他;故障现象具体描述：后摄像头进水，;,经检查前摄像头密封不好导致进水，影像昏花,全景进水
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右）（合成件）,故障频率：其他;客户进站反馈车辆的左右后视镜饰件表面发白,车间判断为是外后视镜总成（左右/合成件）出现故障导致表面发白,外观问题
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（右）（合成件）,故障频率：其他;右边倒车镜进水,经检查右外后视镜总成摄像头密封不严，导致360影像昏花不清晰,全景进水
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,故障频率：一直存在。故障现象具体描述：360全景影像无法使用，显示无视频信号;,经检查为全景后摄像头总成备件质量造成。,360故障
智能化,驾驶辅助,自适应巡航问题,自适应巡航控制器总成,故障频率：一直存在;故障灯：常亮;故障现象具体描述：客户反映:前碰撞[定向处置管理]灯亮起，车辆老是自动刹车;重新校定车辆故障依旧，检查支架无变形，线束针脚无破损损坏,ACC雷达故障,ACC/AEB/LKA故障灯亮
智能化,驾驶辅助,倒车/全景影像系统问题,倒车摄像头总成,故障频率：一直存在;故障灯：闪烁;路况：水泥路;工况：冷车;加减速：怠速;故障现象具体描述：客户进店反映，车辆倒车影像模糊;,经师傅检查，倒车摄像头总成镜头老化，需更换,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（右/合成件）,故障频率：一直存在;故障现象具体描述：360右方摄像头无反应;,经检查为外后视镜总成（右/合成件）备件质量造成。,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,故障频率：一直存在;故障现象具体描述：后摄像头没画面,经检查后摄像头故障,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,故障频率：一直存在;故障现象具体描述：后摄像头异常;,故障频率：一直存在;故障现象具体描述：后摄像头异常;,全景模糊
智能化,驾驶辅助,自动紧急制动系统问题,前视摄像头总成,故障频率：一直存在;故障现象具体描述：紧急制动、自适应巡航无法使用，,经检查为前视摄像头总成故障导致。,ACC/AEB/LKA失效
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,故障频率：一直存在;故障现象具体描述：客户4月17日中午反应 挂入倒档，后摄像头不显示，界面为绿色;,后摄像头损坏,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,故障频率：一直存在;故障现象具体描述：客户反馈车辆后摄像头不能正常使用，时好时坏，客户有拍摄照片，无法看到影像，客户要求更换新的摄像头 ;,经检查判定全景后摄像头总成故障,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,故障频率：一直存在;故障现象具体描述：客户反馈车辆后摄像头蓝屏，客户要求免费更换;,经检查判定全景后摄像头总成故障,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,故障频率：一直存在;故障现象具体描述：客户反馈车辆后摄像头模糊起雾，客户倒车时影像看不清楚，客户车辆在质保期内，客户要求免费更换新的配件;,经检查判定全景后摄像头总成故障,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,故障频率：一直存在;故障现象具体描述：客户反馈车辆后摄像头偶发性会出现绿屏现象，客户要求更换新的后摄像头;,经检查判定全景后摄像头总成故障,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,故障频率：一直存在;故障现象具体描述：客户反馈车辆前摄像头发绿，偶发性发现，客户故障照片都已拍摄，客户要求更换新的配件;,经检查判定全景前摄像头总成故障,360绿屏/黑屏/花屏/蓝屏
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,故障频率：一直存在;故障现象具体描述：客户反馈车辆右后视镜漏风，噪音大，严重影响驾驶体验，后视镜下方缝隙很清晰看到很大的缝，左后视镜却没有缝，客户车辆在质保期内，客户要求更换新的配件;,经检查判断外后视镜总成（右）（合成件）故障,摄像头问题
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,故障频率：一直存在；故障现象具体描述：客户反应车辆360影像打不开，仪表报摄像头故障。,经技师检查为车辆自动泊车摄像头总成故障。,360故障
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右）（合成件）,故障频率：一直存在;故障现象具体描述：客户反映右后视镜折叠异响;,经我站技师检查，该车辆右后视镜在折叠时有异响，复位学习后故障无法排除，更换外后视镜总成（右）后故障排除,异响问题
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,故障频率：一直存在;故障现象具体描述：客户反映左前后视镜折叠有异响。,经检查 配件你原因导致该故障。,异响问题
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,故障频率：一直存在;故障现象具体描述：客户进站反复，左外后视镜不能折叠同时伴随吱吱的异响声。;,经师傅检查确认是 左前后视镜本身存在质量问题所导致,异响问题
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,故障频率：一直存在;故障现象具体描述：前摄像头绿屏;,经检查全景前摄像头总成绿屏导致故障产生,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,故障频率：一直存在;故障现象具体描述：前摄像头起雾模糊;,经检查：前摄像头总成内部损坏,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,故障频率：一直存在;故障现象具体描述：前摄像头中间模糊不清楚;,经维修技师检查为前摄像头故障,全景模糊
智能化,驾驶辅助,自适应巡航问题,自适应巡航控制器总成,故障频率：一直存在;故障现象具体描述：仪表经常报防碰撞系统故障,经查，相关线路及接插无异常，用诊断仪测得故障码为B212604雷达失明诊断，没有碰撞过的痕迹，确认是自适应巡航控制器总成故障所致,ACC/AEB/LKA失效
智能化,驾驶辅助,自适应巡航问题,前视摄像头总成,故障频率：一直存在;故障现象具体描述：自适应巡航不好使;,经技师检查后判定为前视摄像头总成失效导致故障。,ACC/AEB/LKA失效
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（左/合成件）,故障频率：一直存在;故障现象具体描述：左360不显示;,检修发现该车左后视镜问题,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,故障频率：一直存在;故障现象具体描述：左边摄像头不清楚;,摄像头损坏,全景模糊
智能化,驾驶辅助,自适应巡航问题,自适应巡航控制器总成,故障频率：一直存在;客户反映该车辆自适应巡航功能无法使用,经维修技师检测为自适应巡航控制器总成故障，需更换新件,ACC/AEB/LKA失效
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,故障频率：一直存在;客户反映全景前摄像头绿屏，左前门玻璃刮不干净。,经维修技师检查全景前摄像头总成和左前门外夹条总成属于配件内部故障需要更换,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（左/合成件）,故障频率：一直存在;客户反映左外后视镜影像模糊。,经检查发现是因左外后视镜总成内置摄像头接触不良导致。,360故障
